DATE,MEHOINUSA672N
1984-01-01,52679
1985-01-01,53664
1986-01-01,55597
1987-01-01,56261
1988-01-01,56725
1989-01-01,57705
1990-01-01,56966
1991-01-01,55302
1992-01-01,54874
1993-01-01,54581
1994-01-01,55215
1995-01-01,56945
1996-01-01,57772
1997-01-01,58961
1998-01-01,61128
1999-01-01,62641
2000-01-01,62512
2001-01-01,61126
2002-01-01,60435
2003-01-01,60360
2004-01-01,60150
2005-01-01,60794
2006-01-01,61268
2007-01-01,62090
2008-01-01,59877
2009-01-01,59458
2010-01-01,57904
2011-01-01,57021
2012-01-01,56912
2013-01-01,58904
2014-01-01,58001
2015-01-01,60987
2016-01-01,62898
2017-01-01,63761
2018-01-01,64324
2019-01-01,68703
