date, Population per Square KM, Annual % Change
12/31/1950,16.1525946,
12/31/1951,16.3629255,1.3
12/31/1952,16.6064041,1.49
12/31/1953,16.8753328,1.62
12/31/1954,17.162815,1.7
12/31/1955,17.4627637,1.75
12/31/1956,17.7699054,1.76
12/31/1957,18.0797744,1.74
12/31/1958,18.3886699,1.71
12/31/1959,18.6935936,1.66
12/31/1960,18.9920542,1.6
12/31/1961,19.2818644,1.53
12/31/1962,19.5609572,1.45
12/31/1963,19.8273107,1.36
12/31/1964,20.0791643,1.27
12/31/1965,20.3156663,1.18
12/31/1966,20.53558,1.08
12/31/1967,20.7399555,1
12/31/1968,20.9332802,0.93
12/31/1969,21.1218076,0.9
12/31/1970,21.3103929,0.89
12/31/1971,21.5006716,0.89
12/31/1972,21.6924767,0.89
12/31/1973,21.8866478,0.9
12/31/1974,22.0835771,0.9
12/31/1975,22.2835812,0.91
12/31/1976,22.4875354,0.92
12/31/1977,22.6959707,0.93
12/31/1978,22.9083125,0.94
12/31/1979,23.1235403,0.94
12/31/1980,23.3409063,0.94
12/31/1981,23.560578,0.94
12/31/1982,23.7829025,0.94
12/31/1983,24.0075266,0.94
12/31/1984,24.2340031,0.94
12/31/1985,24.4621452,0.94
12/31/1986,24.6923563,0.94
12/31/1987,24.9252443,0.94
12/31/1988,25.1611669,0.95
12/31/1989,25.4005544,0.95
12/31/1990,25.6441085,0.96
12/31/1991,25.8901603,0.96
12/31/1992,26.1394855,0.96
12/31/1993,26.3979927,0.99
12/31/1994,26.6735421,1.04
12/31/1995,26.9708056,1.11
12/31/1996,27.2933662,1.2
12/31/1997,27.6370196,1.26
12/31/1998,27.9891188,1.27
12/31/1999,28.332184,1.23
12/31/2000,28.6538801,1.14
12/31/2001,28.9485535,1.03
12/31/2002,29.220264,0.94
12/31/2003,29.478235,0.88
12/31/2004,29.736496,0.88
12/31/2005,30.0049037,0.9
12/31/2006,30.2861889,0.94
12/31/2007,30.5760182,0.96
12/31/2008,30.8687081,0.96
12/31/2009,31.1556991,0.93
12/31/2010,31.4307238,0.88
12/31/2011,31.6923898,0.83
12/31/2012,31.9425892,0.79
12/31/2013,32.1822933,0.75
12/31/2014,32.4134758,0.72
12/31/2015,32.6377444,0.69
12/31/2016,32.8551764,0.67
12/31/2017,33.0655979,0.64
12/31/2018,33.270196,0.62
12/31/2019,33.4704351,0.6
12/31/2020,33.6675293,0.59
12/31/2021,33.862049,0.58
12/31/2022,34.0543079,0.57
12/31/2023,34.2449154,0.56
12/31/2024,34.434442,0.55
12/31/2025,34.6233286,0.55
12/31/2026,34.8117411,0.54
12/31/2027,34.9997819,0.54
12/31/2028,35.1876614,0.54
12/31/2029,35.3755464,0.53
12/31/2030,35.5633952,0.53
12/31/2031,35.7513936,0.53
12/31/2032,35.9390828,0.52
12/31/2033,36.1249611,0.52
12/31/2034,36.3070345,0.5
12/31/2035,36.4838157,0.49
12/31/2036,36.6547825,0.47
12/31/2037,36.8201449,0.45
12/31/2038,36.9800783,0.43
12/31/2039,37.1350416,0.42
12/31/2040,37.2854377,0.4
12/31/2041,37.4313227,0.39
12/31/2042,37.572718,0.38
12/31/2043,37.7100062,0.37
12/31/2044,37.8436671,0.35
12/31/2045,37.9741614,0.34
12/31/2046,38.1017832,0.34
12/31/2047,38.2268476,0.33
12/31/2048,38.3498808,0.32
12/31/2049,38.4714734,0.32
12/31/2050,38.5921493,0.31
12/31/2051,38.7122046,0.31
12/31/2052,38.831924,0.31
12/31/2053,38.9517873,0.31
12/31/2054,39.0723043,0.31
12/31/2055,39.1938635,0.31
12/31/2056,39.3166773,0.31
12/31/2057,39.440794,0.32
12/31/2058,39.566199,0.32
12/31/2059,39.6927851,0.32
12/31/2060,39.8204239,0.32
12/31/2061,39.949065,0.32
12/31/2062,40.0786051,0.32
12/31/2063,40.2087586,0.32
12/31/2064,40.3391646,0.32
12/31/2065,40.4694796,0.32
12/31/2066,40.5995327,0.32
12/31/2067,40.7291068,0.32
12/31/2068,40.8577365,0.32
12/31/2069,40.9848819,0.31
12/31/2070,41.110104,0.31
12/31/2071,41.2331949,0.3
12/31/2072,41.354058,0.29
12/31/2073,41.4725356,0.29
12/31/2074,41.5885056,0.28
12/31/2075,41.7018985,0.27
12/31/2076,41.8126512,0.27
12/31/2077,41.920787,0.26
12/31/2078,42.0264568,0.25
12/31/2079,42.1298882,0.25
12/31/2080,42.231295,0.24
12/31/2081,42.3308023,0.24
12/31/2082,42.4285306,0.23
12/31/2083,42.5247069,0.23
12/31/2084,42.6195875,0.22
12/31/2085,42.7134225,0.22
12/31/2086,42.8063592,0.22
12/31/2087,42.898587,0.22
12/31/2088,42.9904371,0.21
12/31/2089,43.0822864,0.21
12/31/2090,43.1744377,0.21
12/31/2091,43.2670788,0.21
12/31/2092,43.3602975,0.22
12/31/2093,43.4541141,0.22
12/31/2094,43.5485204,0.22
12/31/2095,43.6435154,0.22
12/31/2096,43.7391186,0.22
12/31/2097,43.8353741,0.22
12/31/2098,43.9323548,0.22
12/31/2099,44.0301601,0.22
12/31/2100,44.1289172,0.22
